Company,Ticker,Sector,Market Cap,num. of employees,revenue,profit,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,rank,rank_change,Website
Pitney Bowes,PBI,Technology,900.1,11500,3673.6,-1.4,Stamford,CT,no,no,no,no, ,Marc B. Lautenbach,729,0,https://www.pitneybowes.com
Lamb Weston Holdings,LW,"Food, Beverages & Tobacco",8699.1,7800,3670.9,317.8,Eagle,ID,no,no,no,yes, ,Thomas P. Werner,730,0,https://www.lambweston.com
Alliant Energy,LNT,Energy,15670.6,3313,3669,659,Madison,WI,no,no,no,yes, ,John O. Larsen,731,0,https://www.alliantenergy.com
Resolute Forest Products,RFP,Materials,991.7,6900,3664,307,Calhoun,TN,no,no,no,yes, ,Remi G. Lalonde,732,0,https://www.resolutefp.com
Parsons,PSN,Aerospace & Defense,4012,15500,3660.8,64.1,Centreville,VA,no,no,yes,yes, ,Carey A. Smith,733,0,https://www.parsons.com
Trimble,TRMB,Technology,18122.7,11931,3659.1,492.7,Sunnyvale,CA,no,no,no,yes, ,Robert G. Painter,734,0,https://www.trimble.com
OGE Energy,OGE,Energy,8164.2,2185,3653.7,737.3,Oklahoma City,OK,no,no,no,yes, ,Sean Trauschke,735,0,https://www.ogeenergy.com
Garrett Motion,GTX,Motor Vehicles & Parts,463.9,7600,3633,,Plymouth,MI,no,no,no,no, ,Olivier Rabiller,736,0,https://www.garrettmotion.com
Winnebago Industries,WGO,Motor Vehicles & Parts,1826,6532,3629.8,281.9,Eden Prairie,MN,no,no,no,yes, ,Michael Happe,737,0,https://www.winnebagoind.com
Ciena,CIEN,Technology,9223.4,7205,3620.7,500.2,Hanover,MD,no,no,no,yes, ,Gary B. Smith,738,0,https://www.ciena.com
PriceSmart,PSMT,Retailing,2434.1,10400,3619.9,98,San Diego,CA,no,no,yes,yes, ,Sherry S. Bahrambeygui,739,0,https://www.pricesmart.com
Advantage Solutions,ADV,Business Services,2029.6,45000,3602.3,54.5,Irvine,CA,no,no,yes,yes, ,Jill Griffin,740,0,https://www.advantagesolutions.net
H&R Block,HRB,Financials,4284.6,38000,3588.6,683.9,Kansas City,MO,no,no,no,yes, ,Jeffrey J. Jones II,741,0,https://www.hrblock.com
iHeartMedia,IHRT,Media,2728.1,9990,3558.3,-159.2,San Antonio,TX,no,no,no,no, ,Robert W. Pittman,742,0,https://www.iheartmedia.com
Super Micro Computer,SMCI,Technology,1963,4155,3557.4,111.9,San Jose,CA,no,yes,no,yes, ,Charles Liang,743,0,https://www.supermicro.com
Flowserve,FLS,Industrials,4681.4,16000,3541.1,125.9,Irving,TX,no,no,no,yes, ,R. Scott Rowe,744,0,https://www.flowserve.com
Charles River Laboratories International,CRL,Health Care,14425.4,19300,3540.2,391,Wilmington,MA,no,no,no,yes, ,James C. Foster,745,0,https://www.criver.com
A.O. Smith,AOS,Industrials,10032.2,13700,3538.9,487.1,Milwaukee,WI,no,no,no,yes, ,Kevin J. Wheeler,746,0,https://www.aosmith.com
Rithm Capital,RITM,Financials,5125,12296,3533.1,772.2,New York,NY,no,no,no,yes, ,Michael Nierenberg,747,0,https://www.rithmcap.com
Medical Mutual of Ohio,dfsfs,Financials,12345,2834,3514.8,78.3,Cleveland,OH,no,no,no,yes, ,Steven C. Glass,748,0,https://www.medmutual.com
Granite Construction,GVA,Engineering & Construction,1504.7,2600,3501.9,10.1,Watsonville,CA,no,no,no,yes, ,Kyle T. Larkin,749,0,https://www.graniteconstruction.com
Valmont Industries,VMI,Materials,5083.4,11041,3501.6,195.6,Omaha,NE,no,no,no,yes, ,Stephen G. Kaniewski,750,0,https://www.valmont.com
Sprague Resources,SRLP,Energy,433.7,757,3498.2,-68.9,Portsmouth,NH,no,no,no,no, ,David C. Glendon,751,0,https://www.spragueenergy.com
Primoris Services,PRIM,Engineering & Construction,1269.8,10810,3497.6,115.6,Dallas,TX,no,no,no,yes, ,Thomas E. McCormick,752,0,https://www.primoriscorp.com
Cboe Global Markets,CBOE,Financials,12148.2,1196,3494.8,529,Chicago,IL,no,no,no,yes, ,Edward T. Tilly,753,0,https://www.cboe.com
Carter's,CRI,Apparel,3763.4,15900,3486.4,339.7,Atlanta,GA,no,no,no,yes, ,Michael D. Casey,754,0,https://www.carters.com
TopBuild,BLD,Engineering & Construction,5987.1,13006,3486.2,324,Daytona Beach,FL,no,no,no,yes, ,Robert M. Buck,755,0,https://www.topbuild.com
SiteOne Landscape Supply,SITE,Wholesalers,7255.5,5475,3475.7,238.4,Roswell,GA,no,no,no,yes, ,Doug Black,756,0,https://www.siteone.com
Texas Roadhouse,TXRH,"Hotels, Restaurants & Leisure",5787.8,73300,3463.9,245.3,Louisville,KY,no,no,no,yes, ,Gerald L. Morgan,757,0,https://www.texasroadhouse.com
Akamai Technologies,AKAM,Technology,19210,8700,3461.2,651.6,Cambridge,MA,no,yes,no,yes, ,F. Thomson Leighton,758,0,https://www.akamai.com
Brown-Forman,BFB,"Food, Beverages & Tobacco",31376.6,4700,3461,903,Louisville,KY,no,no,no,yes, ,Lawson E. Whiting,759,0,https://www.brown-forman.com
Acuity Brands,AYI,Industrials,6628.9,13000,3461,306.3,Atlanta,GA,no,no,no,yes, ,Neil M. Ashe,759,0,https://www.acuitybrands.com
Navient,NAVI,Financials,2592.3,5263,3454,717,Wilmington,DE,no,no,no,yes, ,John F. Remondi,761,0,https://www.navient.com
Coterra Energy,CTRA,Energy,21872.1,936,3449,1158,Houston,TX,no,no,no,yes, ,Thomas E. Jorden,762,0,https://www.coterra.com
Option Care Health,OPCH,Health Care,5139,6334,3438.6,139.9,Bannockburn,IL,no,no,no,yes, ,John C. Rademacher,763,0,https://www.optioncarehealth.com
Floor & Decor Holdings,FND,Retailing,7490,9276,3433.5,283.2,Atlanta,GA,no,no,no,yes, ,Thomas Taylor,764,0,https://www.flooranddecor.com
Public Storage,PSA,Financials,68438.2,5800,3415.8,1953.3,Glendale,CA,no,no,no,yes, ,Joseph D. Russell Jr.,765,0,https://www.publicstorage.com
Cabot,CBT,Chemicals,3871.1,4500,3409,250,Boston,MA,no,no,no,yes, ,Sean D. Keohane,766,0,https://www.cabotcorp.com
Crane Holdings,CR,Industrials,6158.9,11000,3408,435.4,Stamford,CT,no,no,no,yes, ,Max H. Mitchell,767,0,https://www.craneco.com
Atmos Energy,ATO,Energy,16182.8,4684,3407.5,665.6,Dallas,TX,no,no,no,yes, ,John K. Akers,768,0,https://www.atmosenergy.com
Selective Insurance Group,SIGI,Financials,5391.5,2440,3379.2,403.8,Branchville,NJ,no,no,no,yes, ,John J. Marchioni,769,0,https://www.selective.com
Take-Two Interactive Software,TTWO,Media,17744.1,6495,3372.8,588.9,New York,NY,no,no,no,yes, ,Strauss H. Zelnick,770,0,https://www.take2games.com
Boyd Gaming,BYD,"Hotels, Restaurants & Leisure",7234,15114,3369.8,463.8,Las Vegas,NV,no,no,no,yes, ,Keith E. Smith,771,0,https://www.boydgaming.com
Plexus,PLXS,Technology,2298.6,19200,3368.9,138.9,Neenah,WI,no,no,no,yes, ,Todd P. Kelsey,772,0,https://www.plexus.com
ScanSource,SCSC,Wholesalers,890.8,2200,3364.2,10.8,Greenville,SC,no,yes,no,yes, ,Michael L. Baur,773,0,https://www.scansource.com
Franchise Group,FRG,Retailing,1669.6,11895,3362.7,363.8,Delaware,OH,no,no,no,yes, ,Brian R. Kahn,774,0,https://www.franchisegrp.com
NLV Financial,YTZY,Financials,543636,1157,3350.8,392.1,Montpelier,VT,no,no,no,yes, ,Mehran Assadi,775,0,https://www.nationallife.com
CrossAmerica Partners,CAPL,Energy,826.5,2218,3350.5,21.7,Allentown,PA,no,no,no,yes, ,Charles M. Nifong Jr.,776,0,https://www.crossamericapartners.com
Mr. Cooper Group,COOP,Financials,3369.4,8200,3344,1454,Coppell,TX,no,no,no,yes, ,Jay Bray,777,0,https://www.mrcoopergroup.com
Fortinet,FTNT,Technology,39789,10195,3342.2,606.8,Sunnyvale,CA,no,yes,no,yes, ,Ken Xie,778,0,https://www.fortinet.com
Brinker International,EAT,"Hotels, Restaurants & Leisure",1701.9,59491,3337.8,131.6,Dallas,TX,no,no,no,yes, ,Kevin Hochman,779,0,https://www.brinker.com
Albemarle,ALB,Chemicals,25899.4,6000,3328,123.7,Charlotte,NC,no,no,no,yes, ,J. Kent Masters,780,0,https://www.albemarle.com
Peabody Energy,BTU,Energy,3391.5,4900,3318.3,360.1,St. Louis,MO,no,no,no,yes, ,James C. Grech,781,0,https://www.peabodyenergy.com
Light & Wonder,LNW,"Hotels, Restaurants & Leisure",5679.7,5600,3310,371,Las Vegas,NV,no,no,no,yes, ,Matt Wilson,782,0,https://www.lnw.com
Evercore,EVR,Financials,4275.1,1940,3307.1,740.1,New York,NY,no,no,no,yes, ,John S. Weinberg,783,0,https://www.evercore.com
Stewart Information Services,STC,Financials,1181,7300,3305.8,323.2,Houston,TX,no,no,no,yes, ,Frederick Eppinger,784,0,https://www.stewart.com
Central Garden & Pet,CENT,Household Products,2286.5,6750,3303.7,151.7,Walnut Creek,CA,no,no,no,yes, ,Timothy P. Cofer,785,0,https://www.central.com
GMS,GMS,Wholesalers,2142.1,5843,3298.8,105.6,Tucker,GA,no,no,no,yes, ,John C. Turner Jr.,786,0,https://www.gms.com
H.B. Fuller,FUL,Chemicals,3505.2,6500,3278,161.4,St. Paul,MN,no,no,no,yes, ,James J. Owens,787,0,https://www.hbfuller.com
Middleby,MIDD,Industrials,8961.1,10624,3250.8,488.5,Elgin,IL,no,no,no,yes, ,Timothy J. FitzGerald,788,0,https://www.middleby.com
Renewable Energy Group,dfsfs,Energy,3056.2,1196,3244.1,213.8,Ames,IA,no,no,yes,yes, ,Kevin E. Lucke,789,0,https://www.regi.com
MSC Industrial Direct,MSM,Wholesalers,4758.3,6472,3243.2,216.9,Melville,NY,no,no,no,yes, ,Erik Gershwind,790,0,https://www.mscdirect.com
Vishay Intertechnology,VSH,Technology,2840.1,22800,3240.5,298,Malvern,PA,no,no,no,yes, ,Gerald Paul,791,0,https://www.vishay.com
Applied Industrial Technologies,AIT,Wholesalers,3947.9,5947,3235.9,144.8,Cleveland,OH,no,no,no,yes, ,Neil A. Schrimsher,792,0,https://www.applied.com
Lincoln Electric Holdings,LECO,Industrials,8079.1,11000,3234.2,276.5,Cleveland,OH,no,no,no,yes, ,Christopher L. Mapes,793,0,https://www.lincolnelectric.com
First Horizon,FHN,Financials,12542.9,7676,3234,999,Memphis,TN,no,no,no,yes, ,D. Bryan Jordan,794,0,https://www.firsthorizon.com
Spirit Airlines,SAVE,Transportation,2375.4,9823,3230.8,-472.6,Miramar,FL,no,no,no,no, ,Edward M. Christie III,795,0,https://www.spirit.com
AptarGroup,ATR,Materials,7702.9,13000,3227.2,244.1,Crystal Lake,IL,no,no,no,yes, ,Stephan B. Tanda,796,0,https://www.aptar.com
Citrix Systems,CTXS,Technology,12704.6,9700,3217.2,307.5,Fort Lauderdale,FL,no,no,no,yes, ,Robert M. Calderoni,797,0,https://www.citrix.com
IDEXX Laboratories,IDXX,Health Care,46089.3,10350,3215.4,744.8,Westbrook,ME,no,no,no,yes, ,Jonathan J. Mazelsky,798,0,https://www.idexx.com
Tetra Tech,TTEK,Engineering & Construction,8906.7,21000,3213.5,232.8,Pasadena,CA,no,no,no,yes, ,Dan L. Batrack,799,0,https://www.tetratech.com
Lyft,LYFT,Technology,13384.6,4453,3208.3,-1009.4,San Francisco,CA,no,yes,no,no, ,Logan Green,800,0,https://www.lyft.com
Gannett,GCI,Media,643.9,16300,3208.1,-135,McLean,VA,no,no,no,no, ,Michael E. Reed,801,0,https://www.gannett.com
ResMed,RMD,Health Care,35463.3,7970,3196.8,474.5,San Diego,CA,no,no,no,yes, ,Michael J. Farrell,802,0,https://www.resmed.com
Designer Brands,DBI,Retailing,991.4,13500,3196.6,154.5,Columbus,OH,no,no,no,yes, ,Roger L. Rawlins,803,0,https://www.designerbrands.com
Graham Holdings,GHC,Business Services,3000.6,15048,3186,352.1,Arlington,VA,no,no,no,yes, ,Timothy J. O?Shaughnessy,804,0,https://www.ghco.com
Vroom,VRM,Retailing,364.7,1807,3184.3,-370.9,New York,NY,no,no,no,no, ,Thomas H. Shortt,805,0,https://www.vroom.com
Worthington Industries,WOR,Materials,2537.8,9000,3171.4,723.8,Columbus,OH,no,no,no,yes, ,B. Andrew Rose,806,0,https://www.worthingtonindustries.com
Calumet Specialty Products Partners,CLMT,Energy,1070.8,1450,3148,-260.1,Indianapolis,IN,no,no,no,no, ,Stephen P. Mawer,807,0,https://www.calumetspecialty.com
Xilinx,XLNX,Technology,30450.5,4890,3147.6,646.5,San Jose,CA,no,no,yes,yes, ,Lisa T. Su,808,0,https://www.xilinx.com
TransUnion,TRU,Business Services,19882.6,10200,3145,1387.1,Chicago,IL,no,no,no,yes, ,Christopher A. Cartwright,809,0,https://www.transunion.com
Travel + Leisure,TNL,"Hotels, Restaurants & Leisure",4966.2,16800,3134,308,Orlando,FL,no,no,no,yes, ,Michael D. Brown,810,0,https://www.travelandleisureco.com
Topgolf Callaway Brands,ELY,"Hotels, Restaurants & Leisure",4337.1,24800,3133.4,322,Carlsbad,CA,no,no,no,yes, ,Oliver G. Brewer III,811,0,https://www.callawaygolf.com
Dycom Industries,DY,Engineering & Construction,2821,15024,3130.5,48.6,Palm Beach Gardens,FL,no,no,no,yes, ,Steven E. Nielsen,812,0,https://www.dycomind.com
Columbia Sportswear,COLM,Apparel,5840.4,8325,3126.4,354.1,Portland,OR,no,no,no,yes, ,Timothy P. Boyle,813,0,https://www.columbia.com
Coherent,COHR,Technology,7708.2,22961,3105.9,297.6,Saxonburg,PA,no,no,no,yes, ,Vincent D. Mattera Jr.,814,0,https://www.ii-vi.com
Change Healthcare,dfsfs,Health Care,6799.3,15000,3090.4,-112.2,Nashville,TN,no,no,yes,no, ,Heather Cianfrocco (Optum),815,0,https://www.changehealthcare.com
Grocery Outlet Holding,GO,Food & Drug Stores,3148,875,3079.6,62.3,Emeryville,CA,no,no,no,yes, ,Eric J. Lindberg Jr.,816,0,https://www.groceryoutlet.com
AMC Networks,AMCX,Media,1721.7,1883,3077.6,250.6,New York,NY,no,no,yes,yes, ,Christina Spade,817,0,https://www.amcnetworks.com
Hyster-Yale Materials Handling,HY,Industrials,561.2,8100,3075.7,-173,Cleveland,OH,no,no,no,no, ,Alfred M. Rankin Jr.,818,0,https://www.hyster-yale.com
ChampionX,CHX,Energy,4976.7,7000,3075,113.3,The Woodlands,TX,no,no,no,yes, ,Sivasankaran Somasundaram,819,0,https://www.championx.com
Comfort Systems USA,FIX,Engineering & Construction,3200.5,13200,3073.6,143.3,Houston,TX,no,no,no,yes, ,Brian E. Lane,820,0,https://www.comfortsystemsusa.com
EQT,EQT,Energy,12955.4,693,3064.7,-1155.8,Pittsburgh,PA,no,no,no,no, ,Toby Z. Rice,821,0,https://www.eqt.com
Brown & Brown,BRO,Financials,20395.7,12023,3051.4,587.1,Daytona Beach,FL,no,no,no,yes, ,J. Powell Brown,822,0,https://www.bbinsurance.com
LGI Homes,LGIH,Engineering & Construction,1884,952,3050.1,429.6,The Woodlands,TX,no,no,no,yes, ,Eric Lipar,823,0,https://www.lgihomes.com
Hyatt Hotels,H,"Hotels, Restaurants & Leisure",10498.3,44000,3028,-222,Chicago,IL,no,no,no,no, ,Mark S. Hoplamazian,824,0,https://www.hyatt.com
Comerica,CMA,Financials,11854.4,7442,3024,1168,Dallas,TX,no,no,no,yes, ,Curtis C. Farmer,825,0,https://www.comerica.com
Energizer Holdings,ENR,Household Products,2191.7,6000,3021.5,160.9,St. Louis,MO,no,no,no,yes, ,Mark S. LaVigne,826,0,https://www.energizerholdings.com
Hill-Rom Holdings,HRC,Health Care,7331.7,10000,3018.7,248.5,Chicago,IL,no,no,no,yes, ,John P. Groetelaars,827,0,https://www.hillrom.com
Rackspace Technology,RXT,Technology,2365.6,6600,3009.5,-218.3,San Antonio,TX,no,no,no,no, ,Amar Maletira,828,0,https://www.rackspace.com
Verisk Analytics,VRSK,Business Services,34616.2,9367,2998.6,666.2,Jersey City,NJ,no,no,no,yes, ,Lee M. Shavel,829,0,https://www.verisk.com
Spectrum Brands Holdings,SPB,Household Products,3617.6,12100,2998.1,189.6,Middleton,WI,no,no,no,yes, ,David M. Maura,830,0,https://www.spectrumbrands.com
Euronet Worldwide,EEFT,Business Services,6658.2,8800,2995.4,70.7,Leawood,KS,no,no,no,yes, ,Michael J. Brown,831,0,https://www.euronetworldwide.com
TEGNA,TGNA,Media,4962.6,6200,2991.1,477,Tysons,VA,no,no,no,yes, ,David T. Lougee,832,0,https://www.tegna.com
Vontier,VNT,Technology,4087.8,8500,2990.7,413,Raleigh,NC,no,no,no,yes, ,Mark D. Morelli,833,0,https://www.vontier.com
Cadence Design Systems,CDNS,Technology,45781.7,9298,2988.2,696,San Jose,CA,no,no,no,yes, ,Anirudh Devgan,834,0,https://www.cadence.com
Incyte,INCY,Health Care,17577.6,2094,2986.3,948.6,Wilmington,DE,no,no,no,yes, ,Hervé Hoppenot,835,0,https://www.incyte.com
Match Group,MTCH,Technology,31007,2520,2983.3,277.7,Dallas,TX,no,no,no,yes, ,Bernard Kim,836,0,https://www.mtch.com
Valvoline,VVV,Chemicals,5660.5,9800,2981,420,Lexington,KY,no,no,no,yes, ,Samuel J. Mitchell Jr.,837,0,https://www.valvoline.com
EnerSys,ENS,Industrials,3076,11400,2977.9,143.4,Reading,PA,no,no,no,yes, ,David M. Shaffer,838,0,https://www.enersys.com
Avaya Holdings,AVYA,Technology,1076,8063,2973,-13,Durham,NC,no,no,no,no, ,Alan Masarek,839,0,https://www.avaya.com
UWM Holdings,UWMC,Financials,7223.5,8000,2970.3,98.4,Pontiac,MI,no,no,no,yes, ,Mathew R. Ishbia,840,0,https://www.uwm.com
Zions Bancorp.,ZION,Financials,9958.2,9685,2970,1129,Salt Lake City,UT,no,no,no,yes, ,Harris H. Simmons,841,0,https://www.zionsbancorporation.com
Quad/Graphics,QUAD,Media,388.5,15100,2960.4,37.8,Sussex,WI,no,no,no,yes, ,J. Joel Quadracci,842,0,https://www.quad.com
MKS Instruments,MKSI,Technology,8327.6,6200,2949.6,551.4,Andover,MA,no,no,no,yes, ,John T.C. Lee,843,0,https://www.mksinst.com
Arista Networks,ANET,Technology,42773.4,2993,2948,840.9,Santa Clara,CA,no,no,yes,yes, ,Jayshree V. Ullal,844,0,https://www.arista.com
Interactive Brokers Group,IBKR,Financials,27961.7,2571,2938,308,Greenwich,CT,no,no,no,yes, ,Milan Galik,845,0,https://www.interactivebrokers.com
Range Resources,RRC,Energy,7964,527,2930.2,411.8,Fort Worth,TX,no,no,no,yes, ,Jeffrey L. Ventura,846,0,https://www.rangeresources.com
Atkore,ATKR,Industrials,4415.6,3700,2928,587.9,Harvey,IL,no,no,no,yes, ,William E. Waltz,847,0,https://www.atkore.com
Cheesecake Factory,CAKE,"Hotels, Restaurants & Leisure",2098.6,45800,2927.5,72.4,Calabasas Hills,CA,no,no,no,yes, ,David M. Overton,848,0,https://www.thecheesecakefactory.com
First Solar,FSLR,Energy,8904.4,4800,2923.4,468.7,Tempe,AZ,no,no,no,yes, ,Mark R. Widmar,849,0,https://www.firstsolar.com
Bio-Rad Laboratories,BIO,Technology,16982.2,7900,2922.5,4245.9,Hercules,CA,no,no,no,yes, ,Norman D. Schwartz,850,0,https://www.bio-rad.com
Cooper Cos.,COO,Health Care,20587.8,12000,2922.5,2944.7,San Ramon,CA,no,no,no,yes, ,Albert G. White III,851,0,https://www.coopercos.com
Envista Holdings,NVST,Health Care,7882.5,11200,2922.4,340.5,Brea,CA,no,no,no,yes, ,Amir Aghdaei,852,0,https://www.envistaco.com
Alight,ALIT,Business Services,5542.2,16000,2915,-60,Lincolnshire,IL,no,no,no,no, ,Stephan D. Scholl,853,0,https://www.alight.com
Newmark Group,NMRK,Financials,3009.9,6169,2906.4,750.7,New York,NY,no,no,no,yes, ,Barry M. Gosin,854,0,https://www.nmrk.com
PC Connection,CNXN,Wholesalers,1375.8,2542,2892.6,69.9,Merrimack,NH,no,no,no,yes, ,Timothy J. McGrath,855,0,https://www.connection.com
Host Hotels & Resorts,HST,Financials,13875.9,160,2890,-11,Bethesda,MD,no,no,no,no, ,James F. Risoleo,856,0,https://www.hosthotels.com
Boston Properties,BXP,Financials,20179.9,743,2888.6,505.2,Boston,MA,no,no,no,yes, ,Owen D. Thomas,857,0,https://www.bxp.com
Western Midstream Partners,WES,Energy,10177.4,1127,2877.2,916.3,The Woodlands,TX,no,no,no,yes, ,MIchael P. Ure,858,0,https://www.westernmidstream.com
Magellan Midstream Partners,MMP,Energy,10422.1,1715,2870.1,982,Tulsa,OK,no,no,no,yes, ,Aaron L. Milford,859,0,https://www.magellanlp.com
Hillenbrand,HI,Industrials,3216.2,10500,2864.8,249.9,Batesville,IN,no,no,yes,yes, ,Kimberly K. Ryan,860,0,https://www.hillenbrand.com
Donaldson,DCI,Industrials,6416.4,13100,2853.9,286.9,Minneapolis,MN,no,no,no,yes, ,Tod E. Carpenter,861,0,https://www.donaldson.com
Moog,MOGA,Aerospace & Defense,2814.6,14000,2852,157.2,East Aurora,NY,no,no,no,yes, ,John R. Scannell,862,0,https://www.moog.com
Hawaiian Electric Industries,HE,Energy,4630,3623,2850.4,246.2,Honolulu,HI,no,no,no,yes, ,Scott W.H. Seu,863,0,https://www.hei.com
Five Below,FIVE,Retailing,8825,13150,2848.4,278.8,Philadelphia,PA,no,no,no,yes, ,Joel D. Anderson,864,0,https://www.fivebelow.com
Twilio,TWLO,Technology,29916.9,7867,2841.8,-949.9,San Francisco,CA,no,yes,no,no, ,Jeff Lawson,865,0,https://www.twilio.com
Univision Communciations,dfsfs,Media,12421,187,2841,133.7,New York,NY,no,no,no,yes, ,Wade C. Davis,866,0,https://https://corporate.televisaunivision.com
Annaly Capital Management,NLY,Financials,10281,171,2836.2,2389.9,New York,NY,no,no,no,yes, ,David L. Finkelstein,867,0,https://www.annaly.com
Fleetcor Technologies,FLT,Business Services,19398.4,9700,2833.7,839.5,Atlanta,GA,no,no,no,yes, ,Ronald F. Clarke,868,0,https://www.fleetcor.com
West Pharmaceutical Services,WST,Health Care,30508.2,10065,2831.6,661.8,Exton,PA,no,no,no,yes, ,Eric M. Green,869,0,https://www.westpharma.com
Green Plains,GPRE,Energy,1662.5,859,2827.2,-66,Omaha,NE,no,no,no,no, ,Todd A. Becker,870,0,https://www.gpreinc.com
Cracker Barrel Old Country Store,CBRL,"Hotels, Restaurants & Leisure",2757.6,70000,2821.4,254.5,Lebanon,TN,no,no,yes,yes, ,Sandra B. Cochran,871,0,https://www.crackerbarrel.com
Virtu Financial,VIRT,Financials,3674,973,2811.5,476.9,New York,NY,no,no,no,yes, ,Douglas Cifu,872,0,https://www.virtu.com
Teleflex,TFX,Health Care,16642.1,14000,2809.6,485.4,Wayne,PA,no,no,no,yes, ,Liam J. Kelly,873,0,https://www.teleflex.com
Zynga,dfsfs,Media,10463.5,2952,2800.5,-104.2,San Francisco,CA,no,no,no,no, ,Frank D. Gibeau,874,0,https://www.zynga.com
ATI,ATI,Materials,3350.8,6300,2799.8,-38.2,Pittsburgh,PA,no,no,no,no, ,Robert S. Wetherbee,875,0,https://www.atimaterials.com
AppLovin,APP,Technology,20696.8,1594,2793.1,35.4,Palo Alto,CA,no,yes,no,yes, ,Adam Foroughi,876,0,https://www.applovin.com
Waters,WAT,Technology,18783.4,7800,2785.9,692.8,Milford,MA,no,no,no,yes, ,Udit Batra,877,0,https://www.waters.com
Mutual of America Life Insurance,dfsfs,Financials,12341,1146,2784.8,50.7,New York,NY,no,no,no,yes, ,John R. Greed,878,0,https://www.mutualofamerica.com
Hovnanian Enterprises,HOV,Engineering & Construction,371.9,1784,2782.9,607.8,Matawan,NJ,no,no,no,yes, ,Ara K. Hovnanian,879,0,https://www.khov.com
Amica Mutual Insurance,dfsfs,Financials,242354,3510,2777.9,117.1,Lincoln,RI,no,no,no,yes, ,Robert A. DiMuccio,880,0,https://www.amica.com
Caleres,CAL,Retailing,727.5,7200,2777.6,137,St. Louis,MO,no,no,yes,yes, ,Diane M. Sullivan,881,0,https://www.caleres.com
FTI Consulting,FCN,Business Services,5400.1,6780,2776.2,235,Washington,DC,no,no,no,yes, ,Steven H. Gunby,882,0,https://www.fticonsulting.com
Overstock.com,OSTK,Retailing,1897.8,1350,2773.8,389.4,Midvale,UT,no,no,no,yes, ,Jonathan E. Johnson III,883,0,https://www.overstock.com
Visteon,VC,Motor Vehicles & Parts,3056.1,10000,2773,41,Van Buren Township,MI,no,no,no,yes, ,Sachin S. Lawande,884,0,https://www.visteon.com
G-III Apparel Group,GIII,Apparel,1296.1,3250,2766.5,200.6,New York,NY,no,no,no,yes, ,Morris Goldfarb,885,0,https://www.giii.com
ITT,ITT,Industrials,6415.4,9900,2765,316.3,White Plains,NY,no,no,no,yes, ,Luca Savi,886,0,https://www.itt.com
IDEX,IEX,Industrials,14591.6,7536,2764.8,449.4,Northbrook,IL,no,no,no,yes, ,Eric D. Ashleman,887,0,https://www.idexcorp.com
Popular,BPOP,Financials,6252.3,8351,2764.8,934.9,Hato Rey,PR,no,no,no,yes, ,Ignacio Alvarez,888,0,https://www.popular.com
Roku,ROKU,Media,16949.3,3000,2764.6,242.4,San Jose,CA,no,yes,no,yes, ,Anthony J. Wood,889,0,https://www.roku.com
Schnitzer Steel Industries,SCHN,Materials,1445.2,3167,2758.6,165.1,Portland,OR,no,no,yes,yes, ,Tamara L. Lundgren,890,0,https://www.schnitzersteel.com
Brookdale Senior Living,BKD,Health Care,1308.3,28545,2758.3,-99.3,Brentwood,TN,no,no,yes,no, ,Lucinda M. Baier,891,0,https://www.brookdale.com
Werner Enterprises,WERN,Transportation,2697.9,13525,2734.4,259.1,Omaha,NE,no,no,no,yes, ,Derek J. Leathers,892,0,https://www.werner.com
Americold Realty Trust,COLD,Financials,7489.8,16275,2714.8,-30.5,Atlanta,GA,no,no,no,no, ,George F. Chappelle Jr.,893,0,https://www.americold.com
SkyWest,SKYW,Transportation,1457.6,15205,2713.5,111.9,St. George,UT,no,no,no,yes, ,Russell A. Childs,894,0,https://www.skywest.com
Primerica,PRI,Financials,5326.8,3170,2709.7,373.4,Duluth,GA,no,no,no,yes, ,Glenn J. Williams,895,0,https://www.primerica.com
McAfee,MCFE,Technology,9764.5,2262,2701,849,San Jose,CA,no,no,no,yes, ,Greg Johnson,896,0,https://www.mcafee.com
Nu Skin Enterprises,NUS,Household Products,2385.6,19600,2695.7,147.3,Provo,UT,no,no,no,yes, ,Ryan S. Napierski,897,0,https://www.nuskin.com
Copart,CPRT,Retailing,29798.8,8600,2692.5,936.5,Dallas,TX,no,no,no,yes, ,#REF!,898,0,https://www.copart.com
PROG Holdings,PRG,Financials,1586.9,2023,2677.9,243.6,Draper,UT,no,no,no,yes, ,Steven A. Michaels,899,0,https://www.progleasing.com
Splunk,SPLK,Technology,23881.6,7000,2673.7,-1339.1,San Francisco,CA,no,no,no,no, ,Gary Steele,900,0,https://www.splunk.com
MRC Global,MRC,Energy,995.2,2600,2666,-14,Houston,TX,no,no,no,no, ,Robert J. Saltiel Jr.,901,0,https://www.mrcglobal.com
Stericycle,SRCL,Business Services,5415.5,15465,2646.9,-27.8,Bannockburn,IL,no,no,yes,no, ,Cindy J. Miller,902,0,https://www.stericycle.com
Maxim Integrated Products,MXIM,Technology,24490.9,7100,2632.5,827.3,San Jose,CA,no,no,no,yes, ,Vincent T. Roche,903,0,https://www.maximintegrated.com
Ensign Group,ENSG,Health Care,4958.3,25900,2627.5,194.7,San Juan Capistrano,CA,no,no,no,yes, ,Barry R. Port,904,0,https://www.ensigngroup.net
